threshold	specificity	sensitivity	CtrlPCentile	CasePCentile	LRplus	LRminus	PPV
4.16589	0.228725636700465	0.914728682170543	22.8725636700465	8.52713178294574	1.18599648283045	0.372810494964878	0.00355600523509139
4.16624	0.228736329686134	0.914728682170543	22.8736329686134	8.52713178294574	1.18601292577193	0.372793066787705	0.00355605436108805
4.1665376256	0.228789794614478	0.914728682170543	22.8789794614478	8.52713178294574	1.18609514731885	0.372705950338143	0.00355630001143294
4.1676396495	0.228797814353729	0.914728682170543	22.8797814353729	8.52713178294574	1.18610748153417	0.372692886382319	0.00355633686191193
4.16764	0.228797814353729	0.914728682170543	22.8797814353729	8.52713178294574	1.18610748153417	0.372692886382319	0.00355633686191193
4.16812	0.22881652707865	0.914728682170543	22.881652707865	8.52713178294574	1.18613626236753	0.372662407379986	0.00355642284933287
4.16853	0.228827220064318	0.914728682170543	22.8827220064318	8.52713178294574	1.18615270918514	0.372644993045362	0.00355647198686892
4.16914230030001	0.228837913049987	0.914728682170543	22.8837913049987	8.52713178294574	1.18616915645885	0.372627580338188	0.00355652112576281
4.169894501	0.228848606035656	0.914728682170543	22.8848606035656	8.52713178294574	1.18618560418869	0.372610169258237	0.0035565702660146
4.17	0.22885395252849	0.914728682170543	22.885395252849	8.52713178294574	1.18619382822466	0.372601464328399	0.00355659483664973
4.170219864	0.230971163690898	0.914728682170543	23.0971163690898	8.52713178294574	1.18945953517259	0.369185990436337	0.003566351567587
4.1704	0.230971163690898	0.914728682170543	23.0971163690898	8.52713178294574	1.18945953517259	0.369185990436337	0.003566351567587
4.17048	0.230984529922984	0.914728682170543	23.0984529922984	8.52713178294574	1.18948020912887	0.369164626989907	0.00356641333315398
4.170554059	0.231080766794002	0.914728682170543	23.1080766794002	8.52713178294574	1.18962908283175	0.369010883131926	0.00356685810840019
4.17082	0.231086113286837	0.914728682170543	23.1086113286837	8.52713178294574	1.18963735468569	0.369002345561172	0.00356688282138891
4.1711761225	0.231302646246628	0.914728682170543	23.1302646246628	8.52713178294574	1.18997246146892	0.368656905630626	0.00356788398529798
4.17122	0.231302646246628	0.914728682170543	23.1302646246628	8.52713178294574	1.18997246146892	0.368656905630626	0.00356788398529798
4.1713	0.231316012478714	0.914728682170543	23.1316012478714	8.52713178294574	1.1899931532595	0.368635603370969	0.00356794580395665
4.17162	0.231345418189303	0.914728682170543	23.1345418189303	8.52713178294574	1.19003867773187	0.368588747064281	0.00356808181254651
4.17287970120001	0.231361457667806	0.914728682170543	23.1361457667806	8.52713178294574	1.19006351073039	0.368563194099044	0.00356815600342065
4.17379788800001	0.231372150653475	0.914728682170543	23.1372150653475	8.52713178294574	1.19008006663853	0.368546160757125	0.00356820546571748
4.17498	0.231377497146309	0.914728682170543	23.1377497146309	8.52713178294574	1.19008834476534	0.368537644676556	0.00356823019738014
4.17541	0.231527198945672	0.914728682170543	23.1527198945672	8.52713178294574	1.19032017908188	0.368299354105115	0.00356892282315315
4.17567	0.231839968776482	0.914728682170543	23.1839968776482	8.52713178294574	1.19080483882189	0.36780249013779	0.00357037078439953
4.17581	0.231847988515733	0.914728682170543	23.1847988515733	8.52713178294574	1.19081727118445	0.367789767663526	0.00357040792706039
4.17589	0.231866701240654	0.914728682170543	23.1866701240654	8.52713178294574	1.19084628103998	0.367760085312787	0.00357049459627444
4.17624	0.231874720979905	0.914728682170543	23.1874720979905	8.52713178294574	1.1908587142679	0.367747365771913	0.00357053174151139
4.1764961452	0.231933532401083	0.914728682170543	23.1933532401083	8.52713178294574	1.19094989920614	0.367654116016297	0.00357080416353307
4.1774079663	0.231941552140335	0.914728682170543	23.1941552140335	8.52713178294574	1.19096233459784	0.367641403804457	0.00357084131521144
4.17764	0.231946898633169	0.914728682170543	23.1946898633169	8.52713178294574	1.19097062500325	0.367632929484936	0.0035708660834265
4.1777	0.231957591618838	0.914728682170543	23.1957591618838	8.52713178294574	1.19098720616034	0.367615982017863	0.00357091562088743
4.1784707596	0.231973631097341	0.914728682170543	23.1973631097341	8.52713178294574	1.19101207876168	0.367590563746773	0.00357098992965595
4.1791068954	0.231981650836592	0.914728682170543	23.1981650836592	8.52713178294574	1.19102451545194	0.367577855929314	0.00357102708519996
4.17941	0.231986997329427	0.914728682170543	23.1986997329427	8.52713178294574	1.19103280672307	0.367569384539127	0.00357105185599219
4.179474103	0.23200303680793	0.914728682170543	23.200303680793	8.52713178294574	1.19105768122911	0.367543972711235	0.00357112617043082
4.1797498236	0.232011056547181	0.914728682170543	23.2011056547181	8.52713178294574	1.19107011887176	0.367531268114874	0.00357116332881003
4.18	0.232016403040016	0.914728682170543	23.2016403040016	8.52713178294574	1.19107841077783	0.3675227988719	0.00357118810149244
4.180323912	0.234213811594939	0.914728682170543	23.4213811594939	8.52713178294574	1.19449618708283	0.36407467710286	0.00358139885598277
4.1804	0.234213811594939	0.914728682170543	23.4213811594939	8.52713178294574	1.19449618708283	0.36407467710286	0.00358139885598277
4.18048	0.234229851073442	0.914728682170543	23.4229851073442	8.52713178294574	1.19452120646488	0.364049746173133	0.00358147360169687
